fecha_inicio,categoria_delito,nombre_sec
2025-05-04,Homicidio doloso,TEZONCO
2025-05-12,Robo a casa habitación con violencia,GRANJAS
2025-08-04,Robo a repartidor con y sin violencia,QUETZAL
2025-07-23,Robo a negocio con violencia,ABASTO-REFORMA
2025-05-17,Lesiones dolosas por disparo de arma de fuego,QUETZAL
2025-05-14,Lesiones dolosas por disparo de arma de fuego,ESTRELLA
2025-05-12,Lesiones dolosas por disparo de arma de fuego,TEOTONGO
2025-07-02,Robo a negocio con violencia,SANTA CRUZ
2025-04-27,Homicidio doloso,QUETZAL
2025-07-26,Robo a repartidor con y sin violencia,OASIS
2025-05-29,Robo a negocio con violencia,GRANJAS
2025-05-23,Robo a negocio con violencia,CHURUBUSCO
2025-07-22,Robo a pasajero a bordo de taxi con violencia,CHURUBUSCO
2025-07-02,Homicidio doloso,ABASTO-REFORMA
2025-08-08,Robo a repartidor con y sin violencia,ABASTO-REFORMA
2025-04-18,Homicidio doloso,ABASTO-REFORMA
2025-06-13,Robo a negocio con violencia,ABASTO-REFORMA
2025-06-13,Robo a casa habitación con violencia,TEOTONGO
2025-05-28,Robo a negocio con violencia,GRANJAS
2025-05-04,Homicidio doloso,TEZONCO
2025-04-17,Robo a negocio con violencia,ABASTO-REFORMA
2025-05-26,Lesiones dolosas por disparo de arma de fuego,ABASTO-REFORMA
2025-04-30,Robo a casa habitación con violencia,OASIS
2025-07-03,Robo a negocio con violencia,TEOTONGO
2025-06-16,Robo a negocio con violencia,GRANJAS
2025-05-17,Lesiones dolosas por disparo de arma de fuego,SANTA CRUZ
2025-04-30,Homicidio doloso,GRANJAS
2025-05-06,Lesiones dolosas por disparo de arma de fuego,SANTA CRUZ
2025-04-21,Robo a casa habitación con violencia,SANTA CRUZ
2025-07-14,Robo a negocio con violencia,TEZONCO
2025-07-23,Robo a negocio con violencia,TEZONCO
2025-08-09,Robo a negocio con violencia,TEZONCO
2025-07-14,Robo a negocio con violencia,ABASTO-REFORMA
2025-05-19,Robo a pasajero a bordo de microbús con y sin violencia,ABASTO-REFORMA
2025-07-17,Robo a negocio con violencia,QUETZAL
2025-06-18,Robo a repartidor con y sin violencia,QUETZAL
2025-06-05,Robo a negocio con violencia,QUETZAL
