fecha_inicio,categoria_delito,nombre_sec
2025-03-09,Homicidio doloso,IZTACCIHUATL
2025-01-10,Robo a repartidor con y sin violencia,IZTACCIHUATL
2024-12-21,Robo a negocio con violencia,TLACOTAL
2025-01-05,Robo a negocio con violencia,PANTITLAN
2025-02-10,Homicidio doloso,TLACOTAL
2025-01-11,Lesiones dolosas por disparo de arma de fuego,TLACOTAL
2025-03-09,Homicidio doloso,TLACOTAL
2025-04-06,Robo a casa habitación con violencia,IZTACCIHUATL
2025-02-18,Robo a negocio con violencia,PANTITLAN
2024-12-20,Robo a repartidor con y sin violencia,TLACOTAL
2025-04-06,Homicidio doloso,TLACOTAL
2025-01-30,Robo a repartidor con y sin violencia,CHURUBUSCO
2025-03-14,Robo a negocio con violencia,CHURUBUSCO
2025-02-07,Homicidio doloso,TLACOTAL
2025-03-31,Robo a repartidor con y sin violencia,ZAPOTITLA
2025-02-26,Homicidio doloso,TEZONCO
2025-03-26,Robo a repartidor con y sin violencia,ESTRELLA
2025-02-04,Lesiones dolosas por disparo de arma de fuego,QUETZAL
2025-02-13,Lesiones dolosas por disparo de arma de fuego,OASIS
2025-02-25,Robo a negocio con violencia,CHURUBUSCO
2025-03-18,Robo a pasajero a bordo de microbús con y sin violencia,TEZONCO
2025-03-24,Robo a casa habitación con violencia,CHURUBUSCO
2025-01-06,Robo a repartidor con y sin violencia,CHURUBUSCO
2025-01-18,Robo a negocio con violencia,PANTITLAN
2025-01-16,Robo a negocio con violencia,TLACOTAL
2024-12-31,Homicidio doloso,TLACOTAL
2025-01-30,Homicidio doloso,OASIS
2025-01-18,Robo a negocio con violencia,TEZONCO
2025-03-29,Lesiones dolosas por disparo de arma de fuego,QUETZAL
2025-02-16,Robo a pasajero a bordo de microbús con y sin violencia,OASIS
2025-02-12,Secuestro,OASIS
2025-04-04,Robo a casa habitación con violencia,CHURUBUSCO
2025-01-10,Robo a negocio con violencia,ABASTO-REFORMA
2025-04-09,Robo a repartidor con y sin violencia,OASIS
2025-04-06,Lesiones dolosas por disparo de arma de fuego,QUETZAL
2025-01-20,Lesiones dolosas por disparo de arma de fuego,GRANJAS
2025-04-09,Robo a negocio con violencia,CHURUBUSCO
2025-01-11,Lesiones dolosas por disparo de arma de fuego,OASIS
2025-03-14,Lesiones dolosas por disparo de arma de fuego,GRANJAS
2025-01-18,Robo a pasajero a bordo de microbús con y sin violencia,TEZONCO
2025-02-02,Homicidio doloso,SANTA CRUZ
2025-01-06,Robo a negocio con violencia,QUETZAL
2025-02-28,Robo a negocio con violencia,QUETZAL
2024-12-23,Robo a negocio con violencia,GRANJAS
2025-02-05,Robo a pasajero a bordo de microbús con y sin violencia,TEZONCO
2025-03-20,Homicidio doloso,QUETZAL
2025-03-28,Secuestro,TEZONCO
