nombre_sec,total_delitos_primera,total_delitos_segunda,variacion_porcentual,eficiencia
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
HUIPULCO-HOSPITALES,63,45,-28.57,0.2857142857142857
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
TEPEPAN,85,63,-25.88,0.25882352941176473
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
FUENTE,61,46,-24.59,0.2459016393442623
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
ESTRELLA,67,51,-23.88,0.23880597014925373
