fecha_inicio,categoria_delito,nombre_sec
2024-12-07,Homicidio doloso,TAXQUEÑA
2024-10-30,Robo a cuentahabiente saliendo del cajero con violencia,CULHUACAN
2024-01-20,Robo a repartidor con y sin violencia,CULHUACAN
2024-06-22,Robo a casa habitación con violencia,CULHUACAN
2025-04-21,Robo a negocio con violencia,TAXQUEÑA
2025-07-07,Robo a negocio con violencia,TAXQUEÑA
2024-12-19,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2024-06-30,Robo a negocio con violencia,TAXQUEÑA
2025-06-16,Robo a negocio con violencia,TAXQUEÑA
2024-05-06,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2024-08-31,Robo a negocio con violencia,TAXQUEÑA
2025-01-19,Robo a pasajero a bordo de microbús con y sin violencia,TAXQUEÑA
2025-08-02,Robo a negocio con violencia,TAXQUEÑA
2024-04-04,Robo a negocio con violencia,CULHUACAN
2024-11-02,Robo a negocio con violencia,TAXQUEÑA
2024-01-29,Robo a negocio con violencia,UNIVERSIDAD
2024-08-28,Homicidio doloso,CULHUACAN
2024-05-21,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-04-12,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-09-28,Robo a negocio con violencia,TAXQUEÑA
2025-08-08,Robo a negocio con violencia,UNIVERSIDAD
2024-04-09,Robo a negocio con violencia,CULHUACAN
2024-02-21,Robo a negocio con violencia,CULHUACAN
2024-12-23,Robo a negocio con violencia,COYOACAN
2024-12-02,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2024-02-19,Robo a negocio con violencia,TAXQUEÑA
2024-07-02,Robo a negocio con violencia,COYOACAN
2024-07-08,Robo a negocio con violencia,CULHUACAN
2024-02-22,Robo a cuentahabiente saliendo del cajero con violencia,COYOACAN
2025-01-05,Robo a pasajero a bordo de microbús con y sin violencia,COYOACAN
2024-02-21,Robo a negocio con violencia,CULHUACAN
2025-03-21,Robo a negocio con violencia,CULHUACAN
2025-02-25,Robo a pasajero a bordo de microbús con y sin violencia,CULHUACAN
2024-01-19,Robo a negocio con violencia,COYOACAN
2024-09-30,Robo a negocio con violencia,CULHUACAN
2024-11-27,Robo a casa habitación con violencia,TAXQUEÑA
2024-11-27,Robo a negocio con violencia,COYOACAN
2024-11-29,Robo a negocio con violencia,CULHUACAN
2024-04-18,Robo a pasajero a bordo de microbús con y sin violencia,UNIVERSIDAD
2024-05-06,Robo a cuentahabiente saliendo del cajero con violencia,UNIVERSIDAD
2025-06-12,Robo a casa habitación con violencia,TAXQUEÑA
2024-07-15,Robo a repartidor con y sin violencia,UNIVERSIDAD
2025-06-02,Robo a negocio con violencia,UNIVERSIDAD
2024-11-23,Robo a repartidor con y sin violencia,COYOACAN
2024-04-14,Robo a negocio con violencia,COYOACAN
2024-09-30,Robo a negocio con violencia,TAXQUEÑA
